City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,bubaque,11.2833,-15.8333,27.92,68,35,3.88,GW,1699936008
242,angaur state,6.906,134.13,28.35,77,87,4.74,PW,1699936008
243,axim,4.8699,-2.2405,25.33,90,1,1.53,GH,1699936008
244,takoradi,4.8845,-1.7554,25.77,88,2,1.81,GH,1699936009
245,longyearbyen,78.2186,15.6401,-11.09,73,40,2.57,SJ,1699936009
246,kourou,5.1552,-52.6478,25.03,90,12,2.52,GF,1699936010
247,aripuana,-9.1667,-60.6333,23.0,88,74,0.97,BR,1699936010
248,balabac,7.9868,117.0645,29.81,73,71,5.7,PH,1699936010
249,quellon,-43.1167,-73.6167,4.13,81,96,3.36,CL,1699936010
250,glace bay,46.1969,-59.957,2.1,94,100,2.57,CA,1699936011
251,vanimo,-2.6741,141.3028,29.32,75,92,1.56,PG,1699936011
252,tokar,18.4254,37.729,28.28,73,39,2.9,SD,1699936011
253,erenhot,43.6475,111.9767,1.96,20,2,5.69,CN,1699936012
254,kuvandyk,51.4781,57.3552,3.47,80,100,3.16,RU,1699936012
255,fernie,49.5,-115.0687,2.11,97,100,2.88,CA,1699935923
256,saint-pierre,-21.3393,55.4781,27.54,47,45,2.57,RE,1699935935
257,loikaw,19.6742,97.2094,24.89,75,89,1.27,MM,1699936013
258,berezovyy,51.6667,135.7,-4.03,46,0,1.15,RU,1699936013
259,klyuchi,52.2667,79.1667,3.74,87,92,3.83,RU,1699936013
260,mejit,10.2753,170.8646,27.06,85,98,6.34,MH,1699936014
261,andergrove,-21.0833,149.1833,31.47,55,0,3.83,AU,1699936014
262,shingu,33.7333,135.9833,16.22,45,3,0.65,JP,1699936015
263,seybaplaya,19.65,-90.6667,24.7,85,87,3.78,MX,1699936015
264,strangnas,59.3774,17.0312,0.99,97,100,3.37,SE,1699936016
265,itagiba,-14.2836,-39.8428,19.34,99,32,0.05,BR,1699936016
266,santeramo in colle,40.793,16.7553,13.25,92,0,1.54,IT,1699936016
267,vorkuta,67.5,64.0,-12.08,88,100,3.64,RU,1699936017
268,alagon,41.7696,-1.1191,17.36,77,0,1.54,ES,1699936017
269,maksatikha,57.797,35.8825,1.11,97,100,3.6,RU,1699936017
270,shurugwi,-19.6702,30.0059,14.21,85,61,3.64,ZW,1699936018
271,kralendijk,12.15,-68.2667,28.99,79,56,8.75,BQ,1699936018
272,mwinilunga,-11.7358,24.4293,15.59,97,40,1.65,ZM,1699936018
273,kone,-21.0595,164.8658,27.18,46,5,4.3,NC,1699936019
274,conneaut,41.9476,-80.5542,10.62,72,1,8.74,US,1699935864
275,toamasina,-18.1667,49.3833,25.0,88,75,1.03,MG,1699936021
276,north bend,43.4065,-124.2243,12.14,93,0,0.0,US,1699936021
277,kyadabek,40.5656,45.8161,5.02,54,10,3.94,AZ,1699936021
278,guerrero negro,27.9769,-114.0611,20.15,60,100,4.18,MX,1699935905
279,urangan,-25.3,152.9,24.18,70,0,7.22,AU,1699936022
280,ishigaki,24.3448,124.1572,25.07,53,75,7.2,JP,1699936022
281,maceio,-9.6658,-35.7353,23.69,100,20,2.06,BR,1699936023
282,pierre,44.3683,-100.351,15.15,34,0,5.66,US,1699936023
283,yeppoon,-23.1333,150.7333,33.88,57,0,6.32,AU,1699936023
284,dehri,24.8667,84.1833,24.21,48,55,1.56,IN,1699936024
285,sumbawa besar,-8.5,117.4333,34.81,46,57,4.24,ID,1699936024
286,pavlodar,52.3,76.95,2.89,93,75,4.0,KZ,1699936025
287,lodja,-3.4833,23.4333,21.28,100,100,1.47,CD,1699936025
288,francistown,-21.17,27.5079,18.09,75,0,7.68,BW,1699936025
289,kruisfontein,-34.0033,24.7314,11.97,87,35,2.45,ZA,1699936026
290,old town,50.087,14.4202,9.53,90,75,4.63,CZ,1699936026
291,visakhapatnam,17.69,83.2093,28.94,54,40,4.63,IN,1699936026
292,la punta,-33.1837,-66.3127,15.36,37,0,3.39,AR,1699936027
293,stanley,54.868,-1.6985,7.06,92,20,3.09,GB,1699936027
294,bridgewater,44.3835,-64.5155,-0.18,91,9,3.6,CA,1699936027
295,bereket,39.2446,55.5154,15.27,37,22,4.03,TM,1699936028
296,tateyama,34.9833,139.8667,14.48,50,52,2.72,JP,1699936028
297,alpine,32.835,-116.7664,16.78,38,0,0.0,US,1699936028
298,coquimbo,-29.9533,-71.3436,13.85,82,1,2.06,CL,1699936029
299,kemin,42.7846,75.6892,7.18,36,0,3.8,KG,1699936029
300,puerto ayacucho,5.6639,-67.6236,24.61,92,98,1.41,VE,1699936030
301,fuglafjordur,62.244,-6.814,6.26,69,68,9.39,FO,1699936030
302,fort payne,34.4442,-85.7197,13.62,79,0,0.0,US,1699936030
303,yishui,35.7847,118.6281,7.97,23,76,2.74,CN,1699936031
304,guiren,33.6697,118.1889,9.9,31,0,2.29,CN,1699936031
